2019/03/18 08:46:44 CET Importing files from project directory C:/WCs/ESDBusinessDevelopment/Product_Input/DemoModels/AdaptiveCruiseControl
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\ACC_Parameters.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\UnitTestMessages.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\___TriggerInfo.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\___SimulationRuntime.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\Testgen_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\ACC_Architecture.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\GeneratedTests.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\analysisHarness_ACC_FormalVerifications_sensorFusion__impl_1.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/ACC_Parameters.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/___TriggerInfo.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/ACC_Architecture.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/___SimulationRuntime.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\ACC_Architecture__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/GeneratedTests.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/Testgen_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\___SimulationRuntime.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/UnitTestMessages.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/analysisHarness_ACC_FormalVerifications_sensorFusion__impl_1.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/___SimulationRuntime.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\___BlockMessages.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/ACC_Architecture__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/___BlockMessages.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\ACCEnums.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\___BlockMessages.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification/ACCEnums.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/___BlockMessages.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\driverUserInterface__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition\___TriggerInfo.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\Unittest_Helper_NonIsolated.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests/driverUserInterface__impl.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_50_ImplementationDefinition/___TriggerInfo.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\ACC_Architecture.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\analysisHarness_ACC_FormalVerifications_sensorFusion__impl_0.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_70_UnitTests\Testgen_Helper.h:9:10: fatal error: 'stdbool.h' file not found
2019/03/18 08:46:58 CET ERROR:clangrdf.logger:C:\WCs\ESDBusinessDevelopment\Product_Input\DemoModels\AdaptiveCruiseControl\solutions\A_ACC\source_gen\A_ACC\_60_FormalVerification\SIUnits.h:9:10: fatal error: 'stdbool.h' file not found
